"Report ID","Category of Incident","Country of Incident","Date of Incident","Subject","Primary Source","Source Type","Additional Sources","Name of Organisation Providing Information","Transport Mode","Where Found","Method of Concealment","Method of Concealment - Details","Detection","Outcome","Number of People Arrested","Number of People Charged","Number of People Fined","Number of People Imprisoned","Amount of Fine","Currency of Fine","Fine in USD","Length of Imprisonment","Unit of Time"
"MOR27277","1. Seizure","Mexico","2019-04-01 00:00:00","28 kg of totoaba seized at Chihuahua International Airport","https://www.eluniversal.com.mx/nacion/seguridad/confisca-pf-28-kilos-de-totoaba-en-chihuahua","Media","https://www.excelsior.com.mx/nacional/detectan-28-kilos-de-totoaba-en-aeropuerto-de-chihuahua/1308318","C4ADS Air Seizure Database","Air","In Postal Parcel (at postal depot or sorting office)","","","Routine Inspection","Confiscation","","","","","","","","",""
"MOR27300","1. Seizure","Mexico","2019-04-01 00:00:00","3 kg of Totoaba swim bladders seized at Crescencio Rejón International Airport, Mérida","https://www.excelsior.com.mx/nacional/aseguran-buches-de-totoaba-en-paqueteria-de-merida/1308778","Media","","C4ADS Air Seizure Database","Air","In Postal Parcel (at postal depot or sorting office)","","","","Confiscation","","","","","","","","",""
"MOR27307","1. Seizure","Mexico","2019-05-01 00:00:00","1,041 kg of sea cucumbers seized at Mexico City International airport","https://www.puntomedio.mx/decomisan-una-tonelada-de-pe4pino-de-mar-yucateco-en-cdmx/","Media","","C4ADS Air Seizure Database","Air","In Freight (as on plane)","","","","Confiscation","","","","","","","","",""
"MOR27311","1. Seizure","Mexico","2019-05-01 00:00:00","18.9 kg of totoaba swim bladders seized at Merida International Airport","https://www.milenio.com/estados/yucatan-aseguran-20-kilos-totoaba-merida-iba-china","Media","","C4ADS Air Seizure Database","Air","In Postal Parcel (at postal depot or sorting office)","","","","Confiscation","","","","","","","","",""
"MOR27314","1. Seizure","China","2019-05-05 00:00:00","565 totoaba swim bladders seized at Sanya Phoenix International Airport - 8 arrested","https://www.chinadaily.com.cn/a/201911/07/WS5dc36ef6a310cf3e35575e39.html","Media","","C4ADS Air Seizure Database","Air","In Personal Baggage","","440 swim bladders were seized from luggage of two Chinese suspects at the airport. A further 125 bladders were seized later.","Intelligence","Confiscation & arrest","","","","","","","","",""
"MOR27318","1. Seizure","Mexico","2019-05-15 00:00:00","20 Mexican spiny-tailed iguanas seized at Merida Airport","https://www.yucatan.com.mx/merida/decomisan-20-iguanas","Media","Robin des Bois On the Trail No. 25","C4ADS Air Seizure Database","Air","In Postal Parcel (at postal depot or sorting office)","","","Routine Inspection","Confiscation","","","","","","","","",""
"MOR27333","1. Seizure","Canada","2019-06-12 00:00:00","One hyena and a tiger cat seized at Montreal-Trudeau Airport, one suspect","https://www.facebook.com/CanBorder/photos/a.271237262974539/2225407600890819/?type=3&theater","Customs","","C4ADS Air Seizure Database","Air","In Personal Baggage","","","","Police fine/Penalty notice","","","","","","","","",""
"MOR27349","1. Seizure","United States of America","2019-06-23 00:00:00","Two giant African land snails seized at Hartsfield-Jackson Atlanta International Airport","https://www.cbp.gov/newsroom/local-media-release/beagle-brigade-atl-intercepts-giant-african-snails#","Customs","","C4ADS Air Seizure Database","Air","In Personal Baggage","","","Dogs","Confiscation","","","","","","","","",""
"MOR27351","1. Seizure","United States of America","2019-06-26 00:00:00","14.515kg of rodent meat seized at O'Hare Airport","https://www.upi.com/Odd_News/2019/07/03/CPB-32-pounds-of-rat-meat-seized-at-OHare-airport/3061562206856/","Media","","C4ADS Air Seizure Database","Air","In Personal Baggage","","Passenger declared the meat.","","Confiscation","","","","","","","","",""
"MOR27354","1. Seizure","United States of America","2019-07-01 00:00:00","30 eggs seized at Miami International Airport","https://www.cbp.gov/newsroom/local-media-release/cbp-agriculture-specialists-miami-international-mail-facility-seize","Customs","","C4ADS Air Seizure Database","Air","In Postal Parcel (at postal depot or sorting office)","","Shipment was declared to contain 'childrens toys'","X-ray","Confiscation","","","","","","","","",""
"MOR27356","1. Seizure","Mexico","2019-07-10 00:00:00","647 dried sea cucumbers and 90 totoaba swim bladders seized at Monterrey International Airport - 4 arrested","https://www.gob.mx/profepa/prensa/coadyuva-la-profepa-con-la-fgr-en-el-aseguramiento-de-totoabas-y-pepinos-de-mar-especies-marinas-protegidas-en-nuevo-leon-208247?idiom=es","Government Agency (Other)","","C4ADS Air Seizure Database","Air","In Personal Baggage","","No documentation that proved the legal origin of the specimens.","","Confiscation & arrest","4","","","","","","","",""
"MOR27378","1. Seizure","United States of America","2019-08-28 00:00:00","1 Stuffed red siskin finch seized at Philadelphia International Airport","https://www.cbp.gov/newsroom/local-media-release/philadelphia-cbp-intercepts-stuffed-endangered-red-siskin-finch#","Customs","https://www.inquirer.com/news/red-siskin-finch-customs-border-patrol-seizure-20191010.html","C4ADS Air Seizure Database","Air","In Postal Parcel (at postal depot or sorting office)","","Package had been labelled to contain 'bird sculpture'","","Confiscation","","","","","","","","",""
"MOR27383","1. Seizure","United States of America","2019-08-29 00:00:00","Bushbuck, genet, civet skins and giant land snail shells seized at Washington Dulles International Airport","https://www.cbp.gov/newsroom/local-media-release/dulles-cbp-intercepts-african-cat-skins-giant-snail-shells#","Customs","","C4ADS Air Seizure Database","Air","In Freight (as on plane)","","","","Confiscation","","","","","","","","",""
"MOR27395","1. Seizure","United States of America","2019-09-19 00:00:00","4 black-breasted leaf turtles seized at JFK - 1 charged","https://www.masslive.com/worcester/2019/10/worcester-man-arrested-after-smuggling-protected-turtles-in-socks-toy-trucks-to-and-from-hong-kong.html","Media","https://patch.com/massachusetts/worcester/worcester-man-accused-international-turtle-smuggling
https://www.justice.gov/usao-ma/pr/worcester-man-pleads-guilty-wildlife-smuggling
https://www.justice.gov/enrd/page/file/1357786/download","C4ADS Air Seizure Database","Air","In Postal Parcel (at postal depot or sorting office)","","Suspect was using Facebook page named 'Nates Newts' (now deactivated)","X-ray","Conviction - imprisonment","1","1","","1","","","","",""
"MOR27396","1. Seizure","United States of America","2017-11-01 00:00:00","24 newts seized at JFK Airport - 1 suspect","https://www.masslive.com/worcester/2019/10/worcester-man-arrested-after-smuggling-protected-turtles-in-socks-toy-trucks-to-and-from-hong-kong.html","Media","https://patch.com/massachusetts/worcester/worcester-man-accused-international-turtle-smuggling","C4ADS Air Seizure Database","Air","In Postal Parcel (at postal depot or sorting office)","","Found in plastic container; Suspect was using Facebook page named 'Nates Newts' (now deactivated)","X-ray","Confiscation","","","","","","","","",""
"MOR27397","1. Seizure","United States of America","2017-11-14 00:00:00","Box turtles, newts & lizards seized at JFK - 1 suspect","https://www.masslive.com/worcester/2019/10/worcester-man-arrested-after-smuggling-protected-turtles-in-socks-toy-trucks-to-and-from-hong-kong.html","Media","https://patch.com/massachusetts/worcester/worcester-man-accused-international-turtle-smuggling","C4ADS Air Seizure Database","Air","In Postal Parcel (at postal depot or sorting office)","Wrapped","Animals were found wrapped in socks in plastic tubs and declared to contain 'hand carved figurines'; Suspect was using Facebook page named 'Nates Newts' (now deactivated)","","Confiscation","","","","","","","","",""
"MOR27437","1. Seizure","Australia","2018-07-31 00:00:00","Skull and monkey parts seized from postal parcel at Darwin Airport","https://newsroom.abf.gov.au/releases/man-arrested-following-gruesome-animal-parts-discovery","Customs","","C4ADS Air Seizure Database","Air","In Postal Parcel (at postal depot or sorting office)","","","","Charged - No further details","","1","","","","","","",""
"MOR27440","1. Seizure","Mexico","2018-10-01 00:00:00","1 female lion cub seized at Tijuana Airport","https://www.gob.mx/profepa/prensa/participa-profepa-en-identificacion-y-aseguramiento-de-un-leon-africano-en-el-aeropuerto-internacional-de-tijuana-en-b-c","Government Agency (Other)","","C4ADS Air Seizure Database","Air","In Freight (as on plane)","","When examining the accompanying documentation it did not meet requirements established in the General Wildlife Law, secondly, the identifcation microchip for the lion was missing.","Routine Inspection","Confiscation","","","","","","","","",""
"MOR27444","1. Seizure","Germany","2018-12-01 00:00:00","1 otter skull seized at Munich Airport","https://www.zoll.de/SharedDocs/Pressemitteilungen/DE/Artenschutz/2018/z74_fischotterschaedel_m.html","Customs","","C4ADS Air Seizure Database","Air","In Postal Parcel (at postal depot or sorting office)","","","","Confiscation","","","","","","","","",""
"MOR27585","1. Seizure","Mexico","2019-06-01 00:00:00","1 white tiger cub seized from a property in Veracruz neighborhood, Perote","https://periodicocorreo.com.mx/rescatan-a-cachorro-de-tigre-blanco-durante-cateo-en-veracruz/","Media","Robin des Bois On the Trail No. 25","","","In Premises (either domestic or business)","","Seized from a residence","","Confiscation","","","","","","","","",""
"MOR27600","1. Seizure","United Kingdom of Great Britain and Northern Ireland","2015-04-17 00:00:00","One live chameleon seized at Heathrow","https://www.nwcu.police.uk/news/wildlife-crime-press-coverage/tigers-head-seized-in-devon-raid/","Police","","","Air","","","","","Confiscation","","","","","","","","",""
