"Report ID","Category of Incident","Country of Incident","Date of Incident","Subject","Primary Source","Source Type","Additional Sources","Name of Organisation Providing Information","Transport Mode","Where Found","Method of Concealment","Method of Concealment - Details","Detection","Outcome","Number of People Arrested","Number of People Charged","Number of People Fined","Number of People Imprisoned","Amount of Fine","Currency of Fine","Fine in USD","Length of Imprisonment","Unit of Time"
"MOR10041","9. Enforcement Action / Prosecution","United States of America","2017-08-30 00:00:00","California man pleads guilty to to illegally importing 67500 kg (USD3million) of abalone over 3 years from Mexico into US","https://www.nbcsandiego.com/news/local/california-man-pleads-guilty-to-smuggling-3m-of-abalone-from-mexico/23630/","Media","","","","","","","","Conviction","1","1","","","","","","",""
"MOR10050","1. Seizure","United States of America","2017-08-23 00:00:00","1 male Bengal tiger cub seized at Otay Mesa Border Post, coming from Mexico - 1 convicted","http://www.bbc.com/news/world-us-canada-41048250","Media","http://www.sandiegouniontribune.com/news/courts/sd-me-tiger-sentence-20180220-story.html","","Land - Vehicle","Inside Vehicle","","","Routine Inspection","Conviction - imprisonment","1","1","","1","","","","6","Months"
"MOR10072","1. Seizure","Peru","2016-04-22 00:00:00","timber seized from trailer in Lima - 19 arrested in operation","https://news.mongabay.com/2016/04/illegal-logging-mafia-arrested-peru/","Media","http://www.inforegion.pe/221553/actualizacion-arrestan-a-banda-que-comerciaba-madera-ilegal-en-lima-y-ucayali/
https://www.actualidadambiental.pe/ucayali-ordenan-18-meses-de-prision-preventiva-para-implicados-en-trafico-de-madera/","","Land - Vehicle","Other (please specify in Method of Concealment Details field)","","found in trailer","Investigation","Confiscation & arrest","19","","","","","","","",""
"MOR10082","1. Seizure","United States of America","2016-05-11 00:00:00","103 fish bladders seized - Mexico to Portland","http://www.portlandmercury.com/blogtown/2016/06/07/18190296/mexican-shipment-of-endangered-fish-bladders-worth-up-to-10000-each-seized-coming-into-portland","Media","","","","In Postal Parcel (at postal depot or sorting office)","","","","Confiscation","","","","","","","","",""
"MOR10087","9. Enforcement Action / Prosecution","United States of America","2017-09-06 00:00:00","Los Angeles man and his company charged with illegal sale of 2 ivory pieces made from narwhal tusks","http://www.dailynews.com/2017/09/06/la-charges-3-men-in-barbaric-ivory-trade/","Media","https://apnews.com/b230c4804c10497abcd8ec3a8dfbeb92","","","In Premises (either domestic or business)","","Seized from antiques shop. ","","Conviction - court fine","1","1","1","","20000","USD US Dollar","20000","",""
"MOR10088","1. Seizure","United States of America","2017-02-01 00:00:00","10 ivory products seized in Beverley Hills, Los Angeles - 1 charged","http://www.dailynews.com/2017/09/06/la-charges-3-men-in-barbaric-ivory-trade/","Media","","","","In Premises (either domestic or business)","","The ivory and mounted animals were seen on display in the antique shop","","Charged - Pending court case","1","1","","","","","","",""
"MOR10089","1. Seizure","United States of America","2017-09-06 00:00:00","9 ivory sculptures seized in Los Angeles - 1 convicted","http://www.dailynews.com/2017/09/06/la-charges-3-men-in-barbaric-ivory-trade/","Media","https://cdfgnews.wordpress.com/2018/04/04/ivory-sales-lead-to-a-conviction-in-los-angeles-county/","","","On Person","","","","Conviction - imprisonment","1","1","","1","","","","10","Days"
"MOR10093","1. Seizure","Canada","2015-11-01 00:00:00","Coral seized in Ontario - 1 company fined","http://www.newswire.ca/news-releases/ontario-company-ordered-to-pay-25000-for-the-illegal-import-of-coral-642471273.html","Media","","","","","Amongst other goods","Hidden amongst a shipment of tropical fish. The company did not have the required CITES permits. ","Routine Inspection","Conviction - court fine","1","1","1","","25000","CAD Canadian Dollar","19942","",""
"MOR10115","1. Seizure","United States of America","2014-04-01 00:00:00","Smuggling of 1 ivory sculpture from US to HK","https://www.justice.gov/opa/pr/alleged-head-wildlife-smuggling-ring-extradited-australia","Government Agency (Other)","","","","","","Declared the sculpture to be made of wood and worth $50.","","Confiscation","","","","","","","","",""
"MOR10118","9. Enforcement Action / Prosecution","United States of America","2009-03-19 00:00:00","Operation Shellshock discovers reptile smuggling ring, 24 people charged","https://cityroom.blogs.nytimes.com/2009/03/19/reptile-smuggling-ring-is-broken-authorities-say/?_r=1","Blog/Forum","CITES Biennial Report Canada 2009-2010","Ministerie van Economische Zaken","","","","","Operation","Charged - No further details","","20","","","","","","",""
"MOR10119","1. Seizure","Mexico","2014-07-01 00:00:00","Pet store found illegally selling birds and reptiles online, 424 animals seized and two people charged","http://www.excelsior.com.mx/nacional/2014/07/23/972490","Media","","Ministerie van Economische Zaken","","","","","","Conviction - imprisonment","","","","2","3000000","MXN Mexican Peso","231424","3","Years"
"MOR10121","1. Seizure","South Africa","2015-01-06 00:00:00","5 dead lizards seized O.R. Tambo International Airport - 1 arrested","https://africageographic.com/blog/reptiles-found-dead-in-box-at-or-tambo/","Media","","Ministerie van Economische Zaken","Air","In Postal Parcel (at postal depot or sorting office)","Amongst other goods","The box was discovered after a suspicious smell was coming from the box. It is suspected that the box sat in the mail centre at OR Tambo Airport for a period of four months.","","Charged - No further details","1","1","","","","","","",""
"MOR10124","1. Seizure","United States of America","1988-10-31 00:00:00","21 snakes confiscated in USA coming from Mexico, two men arrested","http://articles.latimes.com/1988-12-02/local/me-1054_1_dead-snakes","Media","","Ministerie van Economische Zaken","Land - Vehicle","","","Specimens were found hidden in a cloth sack on the underside of the vehicle","","Charged - No further details","","2","","","","","","",""
"MOR10125","9. Enforcement Action / Prosecution","United States of America","1989-05-31 00:00:00","12 Indicted in International Ring Accused of Smuggling Exotic Birds, USA","http://articles.latimes.com/1989-06-01/local/me-1157_1_bird-dealers-exotic-birds-rare-birds","Media","http://articles.latimes.com/1990-02-17/local/me-604_1_exotic-birds","Ministerie van Economische Zaken","Other","","","Specimens were transported using various modes of transport around the world. The birds were sourced from Southeast Asia, South and Central America where they were then shipped either to Argentina or Singapore. From these destinations the birds were trans","Operation","Charged - No further details","","12","1","","","","250000","",""
"MOR10126","9. Enforcement Action / Prosecution","United States of America","1994-04-01 00:00:00","Cockatoo egg smuggling ring thwarted, six people arrested","https://www.fws.gov/news/Historic/NewsReleases/1994/19940429.pdf","Government Agency (Other)","http://articles.latimes.com/1996-04-02/local/me-53997_1_bird-smuggler-sentenced-to-prison","Ministerie van Economische Zaken","Air","On Person","","Specimens were carried inside vests on their person","Operation","Conviction","","6","","2","","","","97","Months"
"MOR10127","1. Seizure","United States of America","1997-08-13 00:00:00","2 Reptile smugglers arrested at Orlando International Airport, snakes and turtles seized","http://articles.orlandosentinel.com/1997-08-17/news/9708181010_1_tomono-reptile-breeders-snakes-and-turtles","Media","","Ministerie van Economische Zaken","Air","In Personal Baggage","","Customs officials at San Francisco found the animals hidden in the bags and warned Orlando customs officers that the pair were travelling through. Specimens were found in both the suspects suitcases at Orlando Interntaional Airport and the pair were arres","Intelligence","Charged - Bail granted","","2","","","","","","",""
"MOR10128","1. Seizure","United States of America","1999-06-08 00:00:00","Two men from Miami plead gulity to smuggling lizards","http://articles.sun-sentinel.com/1999-06-09/news/9906090159_1_lizards-curacao-two-miami-men","Media","","Ministerie van Economische Zaken","Air","","","","","Conviction","","2","","","","","","",""
"MOR10129","1. Seizure","Canada","2009-01-01 00:00:00","Alberta man fined $10K for illegally importing snakes, scorpions into Canada","http://globalnews.ca/news/167276/alberta-man-fined-10k-for-illegally-importing-snakes-scorpions-into-canada-2/","Media","","Ministerie van Economische Zaken","Land - Vehicle","","","","","Conviction - court fine","","1","1","","","","11400","",""
"MOR10130","9. Enforcement Action / Prosecution","Canada","2009-01-01 00:00:00","NY woman sentenced for smuggling turtles and reptiles into Canada by boat","http://globalnews.ca/news/799681/ny-woman-sentenced-for-smuggling-turtles-and-reptiles-into-canada-by-boat/","Media","https://www.fws.gov/le/pdf/doj-08232013-Terrance-Olivia-Sentencing.pdf","Ministerie van Economische Zaken","Other","","","Terrance would receive shipments and transport them to Canada via boat. ","Operation","Conviction - imprisonment","","1","","1","","","","18","Months"
"MOR10140","1. Seizure","United States of America","2015-04-07 00:00:00","Over 1,000 Insects seized at Los Angeles Airport - 1 charged","http://ourweekly.com/news/2016/may/16/man-set-plead-guilty-smuggling-more-1000-dead-inse/","Media","http://www.ocregister.com/2016/08/29/no-jail-time-for-former-irvine-man-who-tried-to-smuggle-butterflies-into-lax/","Ministerie van Economische Zaken","Air","In Personal Baggage","","Insects were contained in boxes in Bic's carry on and checked luggage","","Conviction - court fine","","1","1","","500","USD US Dollar","500","",""
"MOR10141","1. Seizure","Canada","2003-09-13 00:00:00","Caviar seized at Toronto Airport, two people arrested and sentenced to prison","http://soc.culture.polish.narkive.com/M41jUqLY/pracownicy-lotu-aresztowani","Media","","Ministerie van Economische Zaken","Air","In Personal Baggage","Wrapped","Tins of caviar were found wrapped in napkins and towels inside the suitcases of the flight attendents.","Routine Inspection","Conviction - imprisonment","","2","","2","","","","36","Days"
"MOR10142","1. Seizure","United States of America","2012-08-29 00:00:00","Herptologist Bill Lamar arrested for smuggling 7 snakes into the US from Peru","https://www.justice.gov/usao-edtx/pr/smith-county-snake-expert-guilty-smuggling-peruvian-reptiles","Government Agency (Other)","http://www.reptilesmagazine.com/Snakes/Information-News/Snake-Expert-Pleads-Guilty-To-Smuggling-Snakes-Into-Usa/","Ministerie van Economische Zaken","Other","On Person","Under worn clothing","Lamar had hidden the snakes in plastic cups attached to the inside of his jacket. He travelled by plane from Lima to Miami and from there to Dallas. Dallas customs officers would not allow Lamar to get back on the plane and he therefore travelled to Texas","","Conviction","","1","","","","","","",""
"MOR10143","9. Enforcement Action / Prosecution","United States of America","2009-01-01 00:00:00","Scottsboro Man Sentenced for Trafficking Protected Reptiles in Arizona","https://www.justice.gov/archive/usao/aln/News/October%202012/October%2010,%202012%20Scottsboro%20Man.html","Government Agency (Other)","https://www.justice.gov/opa/pr/alabama-man-indicted-lacey-act-wildlife-crimes","Ministerie van Economische Zaken","Land - Vehicle","","","","","Conviction","","1","","","","","","",""
"MOR10150","1. Seizure","United States of America","2011-10-20 00:00:00","Miami Man, Smuggled 16 Birds In His Pants At Miami International Airport","http://www.huffingtonpost.com/2012/12/07/alberto-diaz-gonzalez-mia_n_2257377.html","Media","","Ministerie van Economische Zaken","Air","On Person","Under worn clothing","Gonzalez had hidden the birds in his pockets and in cups under his clothes","Routine Inspection","Charged - No further details","","1","","","","","","",""
"MOR10151","9. Enforcement Action / Prosecution","Canada","2000-07-07 00:00:00","Father, son fined $75,000 in bird smuggling","https://www.theglobeandmail.com/news/national/father-son-fined-75000-in-bird-smuggling/article1040984/","Media","https://www.theglobeandmail.com/news/national/woman-pleads-guilty-to-bird-smuggling/article18421077/","Ministerie van Economische Zaken","","","","","","Conviction","","3","2","1","","","75000","3","Months"
"MOR10153","1. Seizure","Canada","2010-08-04 00:00:00","205 live reptiles seized in Cornwall, Ontario - 2 convicted","http://www.standard-freeholder.com/2013/11/15/jail-for-smuggling-reptiles","Media","","Ministerie van Economische Zaken","Other","Inside Vehicle","","Reptiles were found concealed inside three containers on a boat used to transport the specimens from the US.","Investigation","Conviction - imprisonment","2","2","2","1","90000","USD US Dollar","90000","180","Days"
"MOR10154","1. Seizure","United States of America","2009-01-01 00:00:00","Rare white boa ""Lucy"" smuggled into Utah from Brazil","http://www.deseretnews.com/article/865630882/Snakes-on-a-plane-US-returns-boas-smuggled-by-Utahn-to-Brazil.html?pg=all","Media","","Ministerie van Economische Zaken","Other","In Premises (either domestic or business)","","Reptiles were found inside the property of Jeremy Stone in Utah after an FBI raid. After Jeremy and his sister Kerri Ann had attempted to smuggle the snakes from Brazil via plane and cruise ship they took the snake to Guyana where they were issued a fake ","Investigation","Conviction","","1","","","","","","12","Months"
"MOR10156","1. Seizure","Canada","2015-10-27 00:00:00","Canadian man caught smuggling 6 spiny tailed lizards across US-Canada Border","http://www.cbc.ca/news/canada/british-columbia/lizards-smuggled-canada-border-1.3896499","Media","","Ministerie van Economische Zaken","Land - Vehicle","On Person","Under worn clothing","Anderson had concealed the lizards inside pockets of his hoodie","Routine Inspection","Conviction - court fine","","1","1","","6000","CAD Canadian Dollar","","",""
"MOR10157","1. Seizure","United States of America","2007-11-01 00:00:00","Woman caught smuggling sedated rhesus monkey under clothes pretending to be pregnant","http://www.dailymail.co.uk/news/article-1093224/Woman-tried-smuggle-sedated-monkey-plane-hiding-shirt-claiming-pregnant.html","Media","http://www.mirror.co.uk/news/world-news/most-outrageous-animal-smuggling-attempts-5639499","Ministerie van Economische Zaken","Air","On Person","","Lawson had hidden the sedated monkey under her clothing and pretended to be pregnant. She managed to smuggle the monkey through customs. Later she had boasted about her activities to people in a shop who then informed the police. Investigations then led t","Intelligence","Conviction - imprisonment","","2","1","1","4057","USD US Dollar","","60","Days"
"MOR10163","9. Enforcement Action / Prosecution","United States of America","2004-07-27 00:00:00","Peruvian orchid dealer sentenced to 21 months in Miami for smuggling protected peruvian orchids","http://www.deseretnews.com/article/595080238/Peruvian-orchid-grower-imprisoned-for-smuggling.html?pg=all","Media","https://www.justice.gov/archive/opa/pr/2004/July/04_enrd_515.htm","Ministerie van Economische Zaken","","","","CITES permits were found to be falsified both in terms of the species included in the permit and the source of the specimen. Suspect would ship species not included in the remit of the permit and falsely declare that wild specimens had been obtained from artificially propogated sources.","","Conviction - court fine","","1","1","1","5000","USD US Dollar","","21","Months"
"MOR10164","1. Seizure","Guyana","2015-10-31 00:00:00","US woman admits to attempting to smuggle birds out of Guyana","http://www.inewsguyana.com/us-woman-admits-to-attempting-to-smuggle-birds-out-of-guyana/","Media","","Ministerie van Economische Zaken","Air","In Personal Baggage","","As her luggage passed through the X-ray machine officials were alerted to birds hidden inside her suitcase","X-Ray","Conviction - court fine","","1","1","","75000","USD US Dollar","","",""
"MOR10165","1. Seizure","Cayman Islands","2001-01-30 00:00:00","3 German nationals arrested at Grand Cayman Airport in possession of reptiles, plants and other wildlife","http://www.ircf.org/journal/wp-content/uploads/2017/01/Iguana9_1-2_web.pdf","NGO","","Ministerie van Economische Zaken","Air","In Personal Baggage","","The luggage of all 3 men contained an assortment of wildlife","Intelligence","Charged - No further details","","3","","","","","","",""
"MOR10166","1. Seizure","United States of America","2008-07-01 00:00:00","Man caught with 13 finches at JFK coming from Guyana","https://www.kaieteurnewsonline.com/2008/07/25/bird-smuggler-busted-in-new-york/","Media","http://www.nydailynews.com/news/crime/bird-brained-guyana-man-terrence-mclean-cleared-finch-pinch-article-1.363106","Ministerie van Economische Zaken","Air","In Personal Baggage","","Birds were concealed inside boxes for hair straightners","Routine Inspection","Case discontinued","","","","","","","","",""
"MOR10167","1. Seizure","Guyana","2012-09-03 00:00:00","US-based Guyanese nabbed at CJIA with ‘twa twa’ birds in crotch","https://www.kaieteurnewsonline.com/2012/09/05/us-based-guyanese-nabbed-at-cjia-with-twa-twa-birds-in-crotch/","Media","","Ministerie van Economische Zaken","Air","On Person","","When Ramrattan attempted to go through customs at CJIA Airport customs officials noticed that his clothes looked bulky and searched him. ","Routine Inspection","Conviction - court fine","","1","1","","100000","USD US Dollar","","",""
"MOR10258","1. Seizure","United States of America","2017-09-11 00:00:00","3 pieces of worked ivory seized from antique store in San Rafael, California - 1 charged","https://patch.com/california/sanrafael/antique-dealer-accused-offering-illegal-ivory-sale","Media","","","","In Premises (either domestic or business)","","","","Charged - Bail granted","1","1","","","","","","",""
"MOR10303","2. Poaching / Illegal Harvesting","United States of America","2017-05-01 00:00:00","4 arrested for illegal harvesting of abalone in California","https://eastcountytoday.net/oakley-resident-three-other-suspects-arrested-for-commercial-sale-of-sport-harvest-abalone/","Media","","","","","","","Investigation","Arrest","4","","","","","","","",""
"MOR10336","1. Seizure","Mexico","2017-04-17 00:00:00","16,000 dried seahorses, totoaba swim bladders and sea bass seized in Mexico City","http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_17.pdf","NGO","https://mvsnoticias.com/noticias/seguridad-y-justicia/asegura-pf-cargamento-con-especies-en-peligro-de-extincion-en-cdmx-145/","","Air","","","As parcels within the Primera [first class] logistics area","","Confiscation","","","","","","","","",""
"MOR10838","1. Seizure","Mexico","2017-05-30 00:00:00","27 turtles, 1 crocodile, 7 birds, 30 kg armadillo meat, jaguar skins and puma skins and deer antlers seized in Campeche","Robin des Bois On the Trail No.17 pg118","NGO","","","","","","","Operation","Confiscation","","","","","","","","",""
"MOR10846","1. Seizure","United States of America","2016-09-29 00:00:00","Asian box turtles, black-breasted turtle, Asian arowana fish and others seized in Little Saigon, California - 1 convicted","https://mynewsla.com/orange-county/2017/10/19/turtle-smuggler-guilty-feds-find-vietnam-fedex-filled-with-illegal-critters/","Media","","","Air","In Postal Parcel (at postal depot or sorting office)","","Package was labelled as 'aquarium supplies' sent via FedEx","","Conviction","","1","","","","","","",""
"MOR10917","9. Enforcement Action / Prosecution","United States of America","2017-10-25 00:00:00","Maine fisherman sentenced to prison for trafficking American eels - Operation Broken Glass","https://www.justice.gov/opa/pr/maine-fisherman-sentenced-illegally-trafficking-american-eels","Open Source","","","","","","","","Conviction - imprisonment","","1","","1","","","","24","Months"
"MOR10919","9. Enforcement Action / Prosecution","United States of America","2017-10-05 00:00:00","Three men pleade guilty to illegally trafficking American eels - Operation Broken Glass","https://www.justice.gov/opa/pr/three-men-plead-guilty-illegally-trafficking-american-eels","Open Source","https://news.nationalgeographic.com/2017/06/glass-eel-elver-trafficking-fishing-unagi/","","","","","","Operation","Conviction","","3","","","","","","",""
"MOR11323","1. Seizure","Guyana","2014-06-13 00:00:00","Man attempts to smuggle 22 Twa-Twa birds in hair curlers","https://www.kaieteurnewsonline.com/2014/06/17/man-attempts-to-smuggle-22-twa-twa-birds-in-hair-curlers/","Media","","Ministerie van Economische Zaken","Air","In Personal Baggage","Amongst other goods","Khan had concealed the birds inside hair curler boxes inside his carry-on luggage","Routine Inspection","Charged - Bail granted","","1","","","","","","",""
"MOR11325","9. Enforcement Action / Prosecution","United States of America","2015-11-10 00:00:00","Former fugitive fish smuggler pleads guilty ","http://www.latimes.com/local/lanow/la-me-ln-former-fugitive-fish-smuggler-pleads-guilty-20151110-story.html","Media","","Ministerie van Economische Zaken","","","","","","Conviction","","2","","","","","","",""
"MOR11330","1. Seizure","United States of America","1998-04-13 00:00:00","Four people convicted after being caught with endangered birds in Florida's Key West","http://www.nytimes.com/1988/09/29/us/four-are-convicted-of-smuggling-birds-from-cuba-to-us.html","Media","http://www.nytimes.com/1988/09/19/us/5-going-on-trial-today-over-rare-birds-cargo.html?mcubz=3","Ministerie van Economische Zaken","Other","Inside Vehicle","","Birds were found on a lower deck of the 36ft vessel","","Conviction","","5","","","","","","",""
"MOR11334","9. Enforcement Action / Prosecution","United States of America","2013-11-15 00:00:00","Two Florida Men Convicted in Philadelphia of Conspiring and Trafficking in Protected Reptiles","https://www.justice.gov/opa/pr/two-florida-men-convicted-philadelphia-conspiring-and-trafficking-protected-reptiles","Government Agency (Other)","","Ministerie van Economische Zaken","","","","","","Conviction","","2","","","","","","",""
"MOR11336","1. Seizure","United States of America","2010-07-01 00:00:00","Former Wild Recon Host Donald Schultz Accused Of Illegally Selling Endangered Lizards","http://www.reptilesmagazine.com/Information-News/Wild-Recon-Ex-Host-Charged-With-Illegally-Selling-Endangered-Species/","Blog/Forum","","Ministerie van Economische Zaken","","In Postal Parcel (at postal depot or sorting office)","","During an investigation USFWS officers were acting undercover online and facilitated the sale of lizards being sold online which were subsequently sent in the post","Operation","Charged - No further details","","1","","","","","","",""
"MOR11337","9. Enforcement Action / Prosecution","United States of America","2009-01-01 00:00:00","Reptile trader convicted in Florida","http://www.rspb.org.uk/Images/legal-eagle-79_tcm9-421996.pdf","NGO","","Ministerie van Economische Zaken","Air","","","","","Conviction - court fine","","1","1","","4000","USD US Dollar","","",""
"MOR11341","1. Seizure","Canada","2009-09-15 00:00:00","1,475 turtles and snakes seized in Canada, one man sentenced to six months in prison","http://www.stcatharinesstandard.ca/2010/07/31/six-months-for-largest-live-reptile-smuggling-bust-in-canada","Media","CITES Biennial Report Canada 2009-2010","Ministerie van Economische Zaken","Land - Vehicle","Inside Vehicle","Other","Specimens were concealed inside cloth bags that had been placed inside the panels of the truck","","Conviction - court fine & imprisonment","","1","1","1","5795","CAD Canadian Dollar","4435.26","6","Months"
"MOR11350","1. Seizure","United States of America","2009-11-17 00:00:00","15 Reptiles seized at Los Angeles Airport - smuggler 'Lizard Man' convicted and imprisoned","https://www.treehugger.com/natural-sciences/infamous-lizard-smuggler-sentenced-in-los-angeles.html","Media","http://www.nydailynews.com/news/national/michael-plank-arrested-los-angeles-international-airport-strapping-15-lizards-chest-article-1.416385","Ministerie van Economische Zaken","Air","On Person","Under worn clothing","PLANK had strapped the reptiles to his body under his clothing","","Conviction - court fine & imprisonment","","1","1","1","2000","USD US Dollar","","15","Months"
"MOR11352","9. Enforcement Action / Prosecution","United States of America","1986-01-01 00:00:00","Federal Inspector charged in reptile smuggling case","https://www.upi.com/Archives/1987/12/01/Federal-inspector-charged-in-reptile-smuggling-case/6284565333200/","Media","","Ministerie van Economische Zaken","","","","","","Charged - No further details","","3","","","","","","",""
"MOR11353","1. Seizure","United States of America","2002-06-01 00:00:00","300 orchids seized in Miami, one suspect convicted","https://www.upi.com/Orchid-smuggling-brings-plea/10811086900727/","Media","","Ministerie van Economische Zaken","","","","","","Conviction","","1","","","","","","",""
"MOR11355","1. Seizure","United States of America","2012-08-01 00:00:00","27 Snakes seized at Orlando International Airport, one man arrested","http://www.wftv.com/news/man-tried-take-27-snakes-plane-oia/288046770","Media","","Ministerie van Economische Zaken","Air","In Personal Baggage","Wrapped","Snakes were wrapped inside nylon stockings and concealed inside electrical stereo equipment","X-Ray","Conviction - court fine","","1","1","","6000","USD US Dollar","","",""
"MOR11358","1. Seizure","United States of America","1999-06-09 00:00:00","12 Lizards seized in Las Vegas airport, one man convicted","https://lasvegassun.com/news/2000/sep/07/man-convicted-of-smuggling-lizards-in-underwear/","Media","","Ministerie van Economische Zaken","Air","On Person","Under worn clothing","Lizards were stuffed inside socks and concealed inside suspects trousers","Routine inspection","Conviction","","1","","","","","","",""
"MOR11359","1. Seizure","Canada","2009-09-16 00:00:00","Three Kulan's seized at the Port of Sarnia, Canada, one man convicted","https://www.canada.ca/en/environment-climate-change/services/environmental-enforcement/notifications/illegal-import-kulans.html","Media","","Ministerie van Economische Zaken","Sea","","","","","Conviction - court fine","","1","1","","8000","CAD Canadian Dollar","8073.12","",""
"MOR11360","9. Enforcement Action / Prosecution","United States of America","2003-01-01 00:00:00","2 suspects charged for smuggling protected wildlife into the US from Thailand","https://www.fws.gov/news/ShowNews.cfm?newsId=4D6849EF-22B7-4107-9C3652922F5AC815","Government Agency (Other)","","Ministerie van Economische Zaken","Other","In Postal Parcel (at postal depot or sorting office)","","","","Charged - Pending court case","2","2","","","","","","",""
"MOR11361","9. Enforcement Action / Prosecution","United States of America","2001-03-26 00:00:00","Illinois Man Pleads Guilty to Wildlife Smuggling; Venomous Snakes, Other Reptiles Sent Through U.S. Mail","https://www.fws.gov/news/ShowNews.cfm?newsId=DB8D65C1-E88F-11D4-A17E009027B6B5D3","Government Agency (Other)","","Ministerie van Economische Zaken","Other","In Postal Parcel (at postal depot or sorting office)","","Reptiles were transported in boxes labelled as ""books""","Investigation","Conviction","","1","","","","","","",""
"MOR11363","9. Enforcement Action / Prosecution","United States of America","2001-07-20 00:00:00","Six men charged with illegal trafficking in rare cycads","https://www.justice.gov/archive/opa/pr/2001/July/348enrd.htm","Government Agency (Other)","","Ministerie van Economische Zaken","Other","In Postal Parcel (at postal depot or sorting office)","","","","Charged - No further details","6","6","","","","","","",""
"MOR11364","9. Enforcement Action / Prosecution","United States of America","2001-07-20 00:00:00","Two men arrested for smuggling rare cycads","https://www.justice.gov/archive/opa/pr/2001/July/348enrd.htm","Government Agency (Other)","","Ministerie van Economische Zaken","Other","In Postal Parcel (at postal depot or sorting office)","","","","Charged - No further details","","2","","","","","","",""
"MOR11365","9. Enforcement Action / Prosecution","United States of America","2001-07-20 00:00:00","One man arrested for smuggling rare cycads","https://www.justice.gov/archive/opa/pr/2001/July/348enrd.htm","Government Agency (Other)","","Ministerie van Economische Zaken","","","","","","Charged - No further details","","1","","","","","","",""
"MOR11366","1. Seizure","United States of America","2011-11-01 00:00:00","10 Florida soft-shell turtles seized at LAX - 2 convicted","https://www.justice.gov/archive/usao/fls/PressReleases/2012/120925-01.html","Government Agency (Other)","https://annamiticus.com/2012/10/18/turtle-trafficker-sentenced-to-prison-in-u-s/","Ministerie van Economische Zaken","Air","In Postal Parcel (at postal depot or sorting office)","","Turtles were sent as captive-bred even though they were wild","Investigation","Conviction - court fine & imprisonment","2","2","1","2","20000","USD US Dollar","","90","Days"
"MOR11367","1. Seizure","United States of America","2016-01-09 00:00:00","9 birds seized at Miami International Airport - 1 convicted","https://www.justice.gov/enrd/file/888451/download","Government Agency (Other)","https://www.cbp.gov/newsroom/local-media-release/cbp-officers-miami-international-airport-thwart-smuggling-attempt-nine","Ministerie van Economische Zaken","Air","On Person","Under worn clothing","Birds were concealed in plastic tubes under suspects clothing","Routine Inspection","Conviction - imprisonment","1","1","","1","","","","3","Years"
"MOR11368","9. Enforcement Action / Prosecution","United States of America","2016-07-20 00:00:00","1 convicted for smuggling dead birds into the US","https://www.justice.gov/enrd/file/888451/download","Government Agency (Other)","","Ministerie van Economische Zaken","Air","","","","","Conviction - court fine","1","1","1","","2500","USD US Dollar","","",""
"MOR11369","9. Enforcement Action / Prosecution","United States of America","2016-03-09 00:00:00","Californian woman pleads guilty to smuggling wood turtles out of the US to Hong Kong","https://www.justice.gov/usao-edla/pr/california-women-plead-guilty-smuggling-threatened-north-american-wood-turtles-out","Government Agency (Other)","","Ministerie van Economische Zaken","Air","In Postal Parcel (at postal depot or sorting office)","Appearance modified","Concealed in boxes which were mislabelled","","Charged - No further details","2","2","","","","","","",""
"MOR11407","1. Seizure","France","2009-09-10 00:00:00","188 Uromastyx Geyri lizards seized at Charles-de-Gaulle Airport","https://www.la-croix.com/Semaine-en-images/188-lezards-proteges-saisis-a-l-aeroport-de-Roissy-_NG_-2009-09-18-539389","Media","","C4ADS Air Seizure Database","Air","","","Concealed inside crates - there were permits for 7 of the 9 crates seized","","Confiscation","","","","","","","","",""
"MOR11409","1. Seizure","Canada","2010-05-14 00:00:00","3 Spur-thighed tortoises seized at Edmonton Airport, Canada, one man under investigation","http://www.cbc.ca/news/canada/edmonton/tortoises-in-suitcases-seized-at-edmonton-airport-1.933883  - Received from C4ADS (Reptile Database)","NGO","","C4ADS Air Seizure Database","Air","In Personal Baggage","Amongst other goods","Tortoises were concealed inside cardboard boxes inside luggage - they were detected by a sniffer dog","Other","-","","","","","","","","",""
"MOR11416","1. Seizure","United States of America","2011-12-11 00:00:00","25 Sea turtle eggs sezied at George Bush Intercontinental Airport - 1 arrested","https://www.cbp.gov/newsroom/local-media-release/cbp-houston-prohibit-eggs-endangered-sea-turtle","Media","","C4ADS Reptile Database","Air","In Personal Baggage","","","","Confiscation & arrest","1","","","","","","","",""
"MOR11432","1. Seizure","Israel","2014-01-22 00:00:00","18 frogs seized at Ben Gurion Airport","http://koide9enisrael.blogspot.co.uk/2014/01/ben-gurion-tentative-de-contrebande-de.html","Media","","C4ADS Air Seizure Database","AIr","In Personal Baggage","Amongst other goods","Concealed inside suitcase","","Arrest","","","","","","","","",""
"MOR11438","1. Seizure","Mexico","2014-07-23 00:00:00","8 Reptiles seized at San Luis Potosí International Airport, Mexico","http:///innovaportal/v/6178/1/mx.wap/asegura_profepa_8_viboras_y_reptiles_que_eran_transportados_via_aerea__por_empresa_de_paqueteria.html","Government Agency (Other)","","C4ADS Air Seizure Database","AIr","Other (please specify in Method of Concealment Details field)","","Specimens were all posted - some in separate boxes travelling to different destinations","X-Ray","Confiscation","","","","","","","","",""
